date,inflows,outflows,opening_balance,closing_balance,total_inflows,total_outflows
2020-01-01,12270,3860,10000,18410,12270,3860
2020-01-31,10390,8191,18410,20609,10390,8191
2020-03-01,16964,14284,20609,23289,16964,14284
2020-03-31,10734,9265,23289,24758,10734,9265
2020-04-30,5466,7426,24758,22798,5466,7426
2020-05-30,10578,14636,22798,18740,10578,14636
2020-06-29,16363,14111,18740,20992,16363,14111
2020-07-29,13322,4685,20992,29629,13322,4685
2020-08-28,5769,13583,29629,21815,5769,13583
2020-09-27,18803,9949,21815,30669,18803,9949
2020-10-27,7433,8311,30669,29791,7433,8311
2020-11-26,10051,9420,29791,30422,10051,9420
2020-12-26,6184,7555,30422,29051,6184,7555
2021-01-25,8385,9396,29051,28040,8385,9396
2021-02-24,18035,14096,28040,31979,18035,14096
2021-03-26,13666,12274,31979,33371,13666,12274
2021-04-25,7558,10849,33371,30080,7558,10849
2021-05-25,7047,5747,30080,31380,7047,5747
2021-06-24,14167,12998,31380,32549,14167,12998
2021-07-24,5189,5734,32549,32004,5189,5734
2021-08-23,8005,7658,32004,32351,8005,7658
2021-09-22,6899,10734,32351,28516,6899,10734
2021-10-22,6267,4528,28516,30255,6267,4528
2021-11-21,16394,6556,30255,40093,16394,6556
2021-12-21,8890,11838,40093,37145,8890,11838
2022-01-20,19356,14080,37145,42421,19356,14080
2022-02-19,19502,8393,42421,53530,19502,8393
2022-03-21,15627,11792,53530,57365,15627,11792
2022-04-20,15555,13253,57365,59667,15555,13253
2022-05-20,13433,13233,59667,59867,13433,13233
2022-06-19,16016,10513,59867,65370,16016,10513
2022-07-19,7612,10041,65370,62941,7612,10041
2022-08-18,14555,9235,62941,68261,14555,9235
2022-09-17,10486,10099,68261,68648,10486,10099
2022-10-17,14670,13748,68648,69570,14670,13748
2022-11-16,5775,11226,69570,64119,5775,11226
2022-12-16,19541,6152,64119,77508,19541,6152
2023-01-15,15147,4585,77508,88070,15147,4585
2023-02-14,8943,10555,88070,86458,8943,10555
2023-03-16,8073,4021,86458,90510,8073,4021
2023-04-15,16653,13805,90510,93358,16653,13805
2023-05-15,18417,6843,93358,104932,18417,6843
2023-06-14,12989,12692,104932,105229,12989,12692
2023-07-14,17990,9873,105229,113346,17990,9873
2023-08-13,10675,3161,113346,120860,10675,3161
2023-09-12,9297,13173,120860,116984,9297,13173
2023-10-12,5995,14534,116984,108445,5995,14534
2023-11-11,17743,10629,108445,115559,17743,10629
2023-12-11,16990,12467,115559,120082,16990,12467
2024-01-10,6016,10869,120082,115229,6016,10869
2024-02-09,11439,10892,115229,115776,11439,10892
2024-03-10,11863,10916,115776,116723,11863,10916
2024-04-09,13529,3878,116723,126374,13529,3878
2024-05-09,14268,7887,126374,132755,14268,7887
2024-06-08,17185,7859,132755,142081,17185,7859
2024-07-08,11331,11571,142081,141841,11331,11571
2024-08-07,13684,10208,141841,145317,13684,10208
2024-09-06,10276,5062,145317,150531,10276,5062
2024-10-06,17076,3064,150531,164543,17076,3064
2024-11-05,13006,5568,164543,171981,13006,5568
2024-12-05,10463,5027,171981,177417,10463,5027
2025-01-04,7695,12687,177417,172425,7695,12687
2025-02-03,10258,8618,172425,174065,10258,8618
2025-03-05,11736,3391,174065,182410,11736,3391
2025-04-04,18986,8892,182410,192504,18986,8892
2025-05-04,8561,13470,192504,187595,8561,13470
2025-06-03,11184,6099,187595,192680,11184,6099
2025-07-03,11278,11392,192680,192566,11278,11392
2025-08-02,19151,6104,192566,205613,19151,6104
2025-09-01,12215,5454,205613,212374,12215,5454
2025-10-01,16837,11996,212374,217215,16837,11996
2025-10-31,19434,5731,217215,230918,19434,5731
2025-11-30,19183,13965,230918,236136,19183,13965
2025-12-30,13154,12762,236136,236528,13154,12762
2026-01-29,10056,11110,236528,235474,10056,11110
2026-02-28,18773,13882,235474,240365,18773,13882
2026-03-30,8840,4028,240365,245177,8840,4028
2026-04-29,12385,3502,245177,254060,12385,3502
2026-05-29,11910,12062,254060,253908,11910,12062
2026-06-28,11938,7488,253908,258358,11938,7488
2026-07-28,5206,8134,258358,255430,5206,8134
2026-08-27,10977,10721,255430,255686,10977,10721
2026-09-26,12035,4484,255686,263237,12035,4484
2026-10-26,12858,3863,263237,272232,12858,3863
2026-11-25,7790,10408,272232,269614,7790,10408
2026-12-25,13755,8116,269614,275253,13755,8116
2027-01-24,17383,9019,275253,283617,17383,9019
2027-02-23,6757,10574,283617,279800,6757,10574
2027-03-25,11374,9892,279800,281282,11374,9892
2027-04-24,6678,6242,281282,281718,6678,6242
2027-05-24,9636,4059,281718,287295,9636,4059
2027-06-23,11668,12914,287295,286049,11668,12914
2027-07-23,16506,6157,286049,296398,16506,6157
2027-08-22,10915,13817,296398,293496,10915,13817
2027-09-21,15921,12789,293496,296628,15921,12789
2027-10-21,16252,5693,296628,307187,16252,5693
2027-11-20,18083,6627,307187,318643,18083,6627
2027-12-20,14555,13173,318643,320025,14555,13173
2028-01-19,10450,4663,320025,325812,10450,4663
2028-02-18,14721,13230,325812,327303,14721,13230
